id_eps;cod_eps;nombre;direccion;telefono;id_tarifario;tipo_variacion;Contrato;fecha_ini_contr;fecha_fin_contr
8301138310;EPS000;ALIANSALUD EPS ;;;1;aumento;5.5;;
8600274041;EPS001;ALLIANZA SEG. DE VIDA  S.A.;;;4;descuento;2;;
8600052246;EPS002;BAVARIA S.A. DIVIMED;;;1;aumento;2.3;;
860013570;EPS003;CAFAM CAJA DE COMPENSACION FAMILIAR;;;4;descuento;15;;
9001787243;EPS004;CAFESALUD MEDP. S.A ;;;5;descuento;18;;
830108238;EPS005;CANSERCOOP;;;4;descuento;22.5;;
900136638;EPS006;CERVECERIA DEL VALLE S. A.;;;1;aumento;17;;
8001063391;EPS007;COLMEDICA MEDP. S.A.;;;1;aumento;22;;
8002261753;EPS008;COLMENA ARL S.A.;;;1;aumento;5;;
8605122376;EPS009;COLPATRIA MEDICINA PREPAGADA;;;4;descuento;5;;
8600788287;EPS010;COLSANITAS S.A.;;;5;descuento;5;;
8600261825;EPS011;COLSEGUROS ASEG. DE VIDA S.A.;;;4;descuento;5;;
8600025032;EPS012;COMPANIA DE SEGUROS BOLIVAR S.A.;;;1;aumento;5;;
860037013;EPS013;COMPANIA MUNDIAL DE SEGUROS;;;2;aumento;10;;
8600669427;EPS014;COMPENSAR E.P.S;;;2;aumento;12;;
805000427;EPS015;COOMEVA MP S.A.;;;5;descuento;11;;
899999068;EPS016;ECOPETROL;;;4;descuento;11.5;;
8300035647;EPS017;FAMISANAR EPS SAS;;;1;aumento;14;;
8300035643;EPS017;FAMISANAR EPS SAS PAC;;;1;aumento;18;;
8600101707;EPS018;GENERALI COLOMBIA VIDA CIA DE SEG. S.A.;;;5;descuento;15;;
8600086457;EPS019;LIBERTY SEGUROS DE VIDA S.A.;;;2;aumento;15;;
860043211;EPS020;LIGA CONTRA EL CANCER SECCIONAL BOGOTA;;;1;aumento;15;;
8001534248;EPS021;MEDISANITAS S.A. COMPANIA DE M.P.;;;1;aumento;15;;
8600023985;EPS022;METLIFE COLOMBIA SEG. DE VIDA S.A.;;;1;aumento;15;;
8600382991;EPS023;PAN AMERICAN LIFE DE COLOMBIA;;;4;descuento;17;;
8999999990;EPS024;PARTICULARES;;;5;descuento;17;;
999999999;EPS025;POLIZAS SOAT;;;4;descuento;2;;
8600111536;EPS026;POSITIVA COMPANIA DE SEGUROS S.A;;;1;aumento;12;;
8001309074;EPS027;SALUD TOTAL EPS;;;1;aumento;15;;
8002514406;EPS028;SANITAS S.A. E.P.S.;;;1;aumento;5;;
8600021846;EPS029;SEGUROS COLPATRIA S.A.;;;2;aumento;5;;
860009578;EPS030;SEGUROS DEL ESTADO;;;5;descuento;12;;
899999034;EPS031;SENA;;;2;aumento;12.5;;
8909037905;EPS032;SURAMERICANA SEG. DE VIDA S.A.;;;4;descuento;15;;
899999063;EPS033;UNIVERSIDAD NAL DE COLOMBIAUNISALUD;;;1;aumento;15;;
